	Nationality	Date	Classification
0	Austrian	1896	Architecture
1	French	1987	Architecture
2	Austrian	1903	Architecture
3	Austrian	1903	Architecture
4	American	1968	Architecture
5	Austrian	1900	Architecture
6	Austrian	1905	Architecture
7	Austrian	1906	Architecture
8	German	1918	Architecture
9	American	1970	Architecture
10	American	1975	Architecture
11	Dutch	1987	Architecture
12	American	1979	Architecture
13	American	1979	Architecture
14	American	1979	Architecture
15	American	1978	Architecture
16	American	1978	Architecture
17	American	1978	Architecture
18	American	1978	Architecture
19	Italian	1974	Architecture
20	Swedish	1917	Architecture
21	Swedish	1917	Architecture
22	Swedish	1917	Architecture
23	Swedish	1917	Architecture
24	Swedish	1917	Architecture
25	Swedish	1917	Architecture
26	Swedish	1923	Architecture
27	Swedish	1923	Architecture
28	Swedish	1923	Architecture
29	Swedish	1923	Architecture
30	Swedish	1930	Architecture
31	Swedish	1936	Architecture
32	Swedish	1935	Architecture
33	Swedish	1935	Architecture
34	Swedish	1935	Architecture
35	Swedish	1935	Architecture
36	Swedish	1935	Architecture
37	Swedish	1935	Architecture
38	Swedish	1937	Architecture
39	Swedish	1937	Architecture
40	Swedish	1937	Architecture
41	American	1938	Architecture
42	American	1938	Architecture
43	American	1938	Architecture
44	American	1938	Architecture
45	American	1977	Architecture
46	American	1977	Architecture
47	American	1935	Architecture
48	American	1977	Architecture
49	American	1958	Architecture
50	American	1980	Architecture
51	American	1984	Architecture
52	American	1985	Architecture
53	American	1936	Architecture
54	American	1986	Architecture
55	American	1936	Architecture
56	American	1986	Architecture
57	American	1936	Architecture
58	American	1986	Architecture
59	American	1936	Architecture
60	American	1986	Architecture
61	American	1936	Architecture
62	American	1986	Architecture
63	American	1986	Architecture
64	American	1936	Architecture
65	American	1986	Architecture
66	American	1989	Architecture
67	American	1949	Architecture
68	American	1964	Architecture
69	American	1935	Architecture
70	American	1935	Architecture
71	American	1935	Architecture
72	American	1935	Architecture
73	British	1979	Architecture
74	American	1989	Architecture
75	British	1991	Architecture
76	Japanese	1980	Architecture
77	Dutch	1975	Architecture
78	American	1941	Architecture
79	American	1941	Architecture
80	American	1941	Architecture
81	American	1941	Architecture
82	Italian	1987	Architecture
83	American	1965	Architecture
84	American	1978	Architecture
85	American	1981	Architecture
86	American	1981	Architecture
87	American	1983	Architecture
88	Argentine	1975	Architecture
89	American	1979	Architecture
90	Japanese	1988	Architecture
91	Japanese	1988	Architecture
92	Japanese	1988	Architecture
93	Japanese	1989	Architecture
94	Japanese	1992	Architecture
95	Japanese	1992	Architecture
96	Japanese	1992	Architecture
97	Japanese	1992	Architecture
98	Japanese	1992	Architecture
99	Japanese	1992	Architecture
100	Japanese	1992	Architecture
101	Dutch	1923	Architecture
102	Japanese	1992	Architecture
103	Japanese	1992	Architecture
104	Japanese	1992	Architecture
105	Japanese	1992	Architecture
106	Japanese	1992	Architecture
107	American	1915	Architecture
108	American	1917	Architecture
109	American	1917	Architecture
110	American	1915	Architecture
111	American	1915	Architecture
112	American	1915	Architecture
113	American	1917	Architecture
114	American	1917	Architecture
115	American	1915	Architecture
116	American	1917	Architecture
117	Brazilian	1953	Architecture
118	Brazilian	1953	Architecture
119	American	1992	Architecture
120	American	1910	Architecture
121	American	1970	Architecture
122	Swiss	1986	Architecture
123	Swiss	1985	Architecture
124	Swiss	1985	Architecture
125	Swiss	1986	Architecture
126	Swiss	1982	Architecture
127	American	1945	Architecture
128	American	1945	Architecture
129	Swiss	1982	Architecture
130	Swiss	1985	Architecture
131	Swiss	1985	Architecture
132	Swiss	1985	Architecture
133	Swiss	1986	Architecture
134	Swiss	1984	Architecture
135	Swiss	1985	Architecture
136	Swiss	1986	Architecture
137	Swiss	1985	Architecture
138	Swiss	1985	Architecture
139	Swiss	1985	Architecture
140	Swiss	1984	Architecture
141	Swiss	1984	Architecture
142	American	1924	Architecture
143	Italian	1974	Architecture
144	American	1923	Architecture
145	American	1923	Architecture
146	Brazilian	1953	Architecture
147	American	1938	Architecture
148	Luxembourgish	1974	Architecture
149	American	1938	Architecture
150	American	1938	Architecture
151	American	1938	Architecture
152	American	1938	Architecture
153	American	1938	Architecture
154	American	1938	Mies van der Rohe Archive
155	American	1979	Architecture
156	American	1987	Architecture
157	American	1990	Architecture
158	American	1987	Architecture
159	American	1990	Architecture
160	Dutch	1981	Architecture
161	Italian	1976	Architecture
162	American	1995	Architecture
163	American	1995	Architecture
164	Italian	1975	Architecture
165	American	1931	Architecture
166	American	1929	Architecture
167	American	1964	Architecture
168	American	1964	Architecture
169	American	1959	Architecture
170	Swedish	1918	Architecture
171	Swedish	1920	Architecture
172	Italian	1939	Architecture
173	Luxembourgish	1977	Architecture
174	Luxembourgish	1977	Architecture
175	Luxembourgish	1980	Architecture
176	American	1976	Architecture
177	American	1976	Architecture
178	American	1976	Architecture
179	American	1975	Architecture
180	American	1976	Architecture
181	American	1979	Architecture
182	American	1975	Architecture
183	American	1979	Architecture
184	Italian	1938	Architecture
185	Italian	1938	Architecture
186	Italian	1938	Architecture
187	American	1992	Architecture
188	Argentine	1992	Architecture
189	Argentine	1992	Architecture
190	Japanese	1989	Architecture
191	Japanese	1989	Architecture
192	Japanese	1989	Architecture
193	Japanese	1989	Architecture
194	American	1993	Architecture
195	Japanese	1989	Architecture
196	American	1991	Architecture
197	Italian	1989	Architecture
198	American	1991	Architecture
199	American	1991	Architecture
200	American	1991	Architecture
201	American	1991	Architecture
202	American	1991	Architecture
203	American	1991	Architecture
204	American	1991	Architecture
205	Italian	1991	Architecture
206	American	1989	Architecture
207	Swiss	1996	Architecture
208	Spanish	1988	Architecture
209	Spanish	1992	Architecture
210	British	1985	Architecture
211	British	1985	Architecture
212	British	1985	Architecture
213	British	1982	Architecture
214	British	1983	Architecture
215	British	1982	Architecture
216	British	1982	Architecture
217	British	1982	Architecture
218	British	1982	Architecture
219	British	1982	Architecture
220	British	1982	Architecture
221	British	1982	Architecture
222	British	1982	Architecture
223	British	1982	Architecture
224	British	1982	Architecture
225	British	1982	Architecture
226	British	1982	Architecture
227	British	1982	Architecture
228	British	1982	Architecture
229	British	1982	Architecture
230	British	1982	Architecture
231	British	1982	Architecture
232	British	1982	Architecture
233	British	1982	Architecture
234	American	1952	Architecture
235	Japanese	1990	Architecture
236	American	1921	Mies van der Rohe Archive
237	American	1957	Architecture
238	Dutch	1972	Architecture
239	American	1956	Architecture
240	Dutch	1972	Architecture
241	American	1924	Architecture
242	American	1962	Architecture
243	American	1924	Architecture
244	American	1957	Architecture
245	American	1924	Architecture
246	American	1957	Architecture
247	Dutch	1972	Architecture
248	American	1925	Architecture
249	American	1957	Architecture
250	Dutch	1972	Architecture
251	American	1957	Architecture
252	Dutch	1972	Architecture
253	American	1957	Architecture
254	Dutch	1972	Architecture
255	American	1957	Architecture
256	Dutch	1972	Architecture
257	American	1960	Architecture
258	American	1984	Architecture
259	Dutch	1972	Architecture
260	American	1958	Architecture
261	Argentine	1979	Architecture
262	Dutch	1972	Architecture
263	American	1958	Architecture
264	Argentine	1979	Architecture
265	Dutch	1972	Architecture
266	American	1958	Architecture
267	American	1969	Architecture
268	Argentine	1979	Architecture
269	Dutch	1972	Architecture
270	American	1958	Architecture
271	American	1969	Architecture
272	Japanese	1991	Architecture
273	Dutch	1972	Architecture
274	American	1958	Architecture
275	American	1969	Architecture
276	Italian	1989	Architecture
277	Dutch	1972	Architecture
278	American	1958	Architecture
279	American	1963	Architecture
280	Spanish	1994	Architecture
281	Dutch	1972	Architecture
282	American	1958	Architecture
283	Swiss	1994	Architecture
284	Dutch	1972	Architecture
285	American	1958	Architecture
286	American	1991	Architecture
287	Dutch	1972	Architecture
288	American	1959	Architecture
289	Spanish	1979	Architecture
290	American	1990	Architecture
291	Luxembourgish	1969	Architecture
292	American	1969	Architecture
293	Spanish	1979	Architecture
294	Austrian	1993	Architecture
295	American	1976	Architecture
296	American	1960	Architecture
297	Spanish	1979	Architecture
298	American	1994	Architecture
299	American	1976	Architecture
300	American	1961	Architecture
301	Spanish	1985	Architecture
302	American	1989	Architecture
303	American	1976	Architecture
304	American	1962	Architecture
305	Spanish	1985	Architecture
306	Austrian	1994	Architecture
307	American	1976	Architecture
308	American	1962	Architecture
309	Spanish	1985	Architecture
310	Luxembourgish	1984	Architecture
311	American	1976	Architecture
312	American	1962	Architecture
313	Spanish	1985	Architecture
314	American	1992	Architecture
315	American	1976	Architecture
316	American	1960	Architecture
317	Spanish	1985	Architecture
318	Japanese	1992	Architecture
319	American	1976	Architecture
320	American	1960	Architecture
321	Spanish	1985	Architecture
322	American	1976	Architecture
323	American	1962	Architecture
324	Spanish	1985	Architecture
325	American	1991	Architecture
326	American	1991	Architecture
327	American	1991	Architecture
328	American	1976	Architecture
329	American	1952	Architecture
330	American	1963	Architecture
331	Spanish	1985	Architecture
332	American	1976	Architecture
333	American	1952	Architecture
334	American	1963	Architecture
335	Spanish	1978	Architecture
336	American	1976	Architecture
337	American	1964	Architecture
338	American	1962	Architecture
339	Dutch	1927	Architecture
340	Spanish	1978	Architecture
341	American	1976	Architecture
342	American	1962	Architecture
343	American	1963	Architecture
344	Dutch	1927	Architecture
345	Spanish	1978	Architecture
346	American	1976	Architecture
347	American	1963	Architecture
348	American	1965	Architecture
349	British	1978	Architecture
350	Spanish	1985	Architecture
351	American	1976	Architecture
352	American	1963	Architecture
353	American	1965	Architecture
354	British	1978	Architecture
355	Spanish	1987	Architecture
356	American	1981	Architecture
357	American	1963	Architecture
358	American	1965	Architecture
359	British	1978	Architecture
360	Russian	1933	Architecture
361	Austrian	1981	Architecture
362	American	1992	Architecture
363	American	1963	Architecture
364	American	1962	Architecture
365	British	1978	Architecture
366	Luxembourgish	1985	Architecture
367	American	1977	Architecture
368	American	1989	Architecture
369	American	1963	Architecture
370	American	1964	Architecture
371	British	1978	Architecture
372	Luxembourgish	1985	Architecture
373	American	1996	Architecture
374	American	1963	Architecture
375	American	1964	Architecture
376	British	1978	Architecture
377	Luxembourgish	1985	Architecture
378	Iranian	1996	Architecture
379	American	1963	Architecture
380	American	1964	Architecture
381	Luxembourgish	1985	Architecture
382	American	1963	Architecture
383	American	1963	Architecture
384	Luxembourgish	1985	Architecture
385	American	1963	Architecture
386	American	1963	Architecture
387	Luxembourgish	1985	Architecture
388	American	1963	Architecture
389	American	1963	Architecture
390	Luxembourgish	1985	Architecture
391	American	1963	Architecture
392	American	1963	Architecture
393	Luxembourgish	1985	Architecture
394	American	1961	Architecture
395	American	1963	Architecture
396	Luxembourgish	1985	Architecture
397	American	1962	Architecture
398	American	1965	Architecture
399	French	1929	Architecture
400	American	1959	Architecture
